"part","type","range","value","country"
"ag","sparse","low",23104520275.7879,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27452695064.8683,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31801814372.8833,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19558775020.7933,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23239971156.1217,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26921085059.2361,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83633137895.4756,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90914409661.5485,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98201434911.9747,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76557497486.1125,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83220705848.3993,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89891660662.4286,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23109177043.2939,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27456067717.7322,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31804528507.5927,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19571691003.9694,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23252186810.8296,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26936263862.987,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83628353234.8591,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90918038517.136,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98205894115.1977,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76529147046.2764,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83200439577.4845,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89870269560.7581,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23107777937.2115,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27454957814.9279,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31803924787.206,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19566569756.6673,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23247716247.6193,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26929291913.6896,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83679998817.7977,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90971690086.9162,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98265661082.1473,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76557123383.4378,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83226509844.5442,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89901266166.0865,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23106950649.7491,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27454651466.7574,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31802197505.644,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19569284317.0295,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23251985161.6487,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26933583785.6753,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83656432400.158,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90942459137.4981,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98228880652.2698,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76553629402.7046,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83220945560.9991,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89889184634.9547,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23106417304.7153,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27454013286.3869,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31803721655.5496,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19564246720.2201,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23245040983.295,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26928068547.6069,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83666482703.7823,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90956664764.0789,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98246097464.1127,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76547211649.4052,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83217461783.3024,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89887893953.1785,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23095151499.7723,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27440277184.4228,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31788689205.9225,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19564184668.7988,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23244918190.1706,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26928589310.1974,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83704822696.9947,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90999166289.6274,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98289652838.783,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76562645404.5602,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83234228155.6596,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89904281455.3688,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23106927762.849,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27456221192.3219,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31807362837.9007,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19562194411.2,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23244250572.132,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26928019825.3937,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83663621898.8629,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90955974293.3463,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98246374255.8532,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76548837921.1139,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83225638941.7303,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89893537341.0573,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23109630817.2048,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27459477607.6261,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31807465027.1255,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19570369022.4459,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23253953118.4869,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26936577476.2889,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83636835149.0266,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90929712302.4022,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98222336771.3514,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76555808665.5166,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83233109506.132,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89907594531.7174,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23093787212.707,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27441727258.5153,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31786863562.1397,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19560078683.8894,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23242440772.8553,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26922698598.6555,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83620044690.6839,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90904010970.0144,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98196717085.7766,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76545302755.5607,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83215398469.7068,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89889543826.4449,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",23099544187.3955,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","mean",27448843696.9943,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","high",31796538688.8436,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","low",19564621028.4273,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","mean",23247510533.2081,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","dense","high",26930756212.1517,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","low",83693212843.8851,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","mean",90990926432.1331,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","sparse","high",98282887416.5208,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","low",76557189369.7758,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","mean",83230609273.772,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"bg","dense","high",89897874462.1021,"bh_benhab_03042021_merge_gridcode.tif.vat.dbf"
"ag","sparse","low",12080796.6120853,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14350675.8849705,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16627967.5563823,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56394389.2883096,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",67019614.8595782,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77617056.1969633,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43723540.9640399,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47520774.7412902,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51369251.6578541,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220715499.349161,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239875456.003659,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259069793.693636,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12069725.8314199,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14346280.1910282,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16612552.2761249,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56416515.3782792,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",67043077.6277074,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77667454.4228032,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43725089.6985232,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47527638.4552023,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51334606.2747893,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220673649.522311,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239929179.887478,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259168076.442464,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12063026.1840192,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14332645.5243578,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16604547.9374067,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56383207.3510543,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",66999179.6038887,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77616266.6185501,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43707596.9306604,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47532238.8197379,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51326976.9629296,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220708900.674872,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239875254.596631,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259085282.548141,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12056165.4867506,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14325795.8388946,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16608387.3840863,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56390472.2038801,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",66992539.1651656,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77618646.8004624,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43702586.7640657,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47530254.2061002,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51323332.3846982,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220637016.168591,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239815523.842107,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259177101.278251,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12063619.4080546,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14340244.0624288,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16617269.0799516,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56409372.4814914,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",67027365.9676205,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77637082.7761311,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43668906.1666538,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47451426.6301279,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51309258.5447111,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220664238.673866,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239917960.905896,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259120788.707646,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12058186.9053353,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14336547.1683887,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16603596.9942619,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56386808.3991788,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",66989722.4515448,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77608923.2823031,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43752093.1432422,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47529588.5448211,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51348351.6817192,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220776857.762207,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",240014842.413716,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259273045.278634,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12080286.3923076,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14351154.8671825,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16613008.6291086,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56415600.9609726,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",67027656.3996639,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77653582.1113787,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43714366.8183032,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47518290.9297192,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51330386.5233832,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220732118.78401,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239928661.789248,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259123281.005683,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12062552.9725448,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14336365.7631771,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16608537.3088383,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56385489.6358372,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",67003810.9982919,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77617371.5978222,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43711532.0269305,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47541625.4758251,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51353397.137612,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220674593.607235,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239941566.433506,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259223117.719804,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12068232.6547704,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14336540.0462453,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16612983.3906574,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56399319.4833602,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",66997986.9375298,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77637399.4666311,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43692441.8279816,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47502648.7180389,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51381901.4415181,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220769446.326933,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239982714.989506,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259159579.628962,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",12058497.1170819,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","mean",14330903.4331554,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","high",16601865.8169154,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","low",56394226.1973148,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","mean",67010466.2293558,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","dense","high",77622855.1868486,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","low",43706197.4729504,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","mean",47516859.4608899,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","sparse","high",51355267.8372947,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","low",220708114.544862,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","mean",239932889.406757,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"bg","dense","high",259178313.356721,"bvi_mar_benhab4m_2021_EEZs_gridcode.tif.vat.dbf"
"ag","sparse","low",37030550.0814824,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","sparse","mean",44006491.2576516,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","sparse","high",50969658.0645581,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","dense","low",29927621.6091112,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","dense","mean",35566591.4824455,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","dense","high",41200385.6500544,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","sparse","low",134072111.115534,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","sparse","mean",145796218.969348,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","sparse","high",157483291.680761,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","dense","low",117159795.44544,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","dense","mean",127378480.333411,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","dense","high",137537827.340592,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","sparse","low",37034422.5454861,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","sparse","mean",44004328.711314,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","sparse","high",50970221.3089993,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","dense","low",29926463.7209537,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","dense","mean",35557017.9902327,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","dense","high",41189120.4243513,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","sparse","low",134229786.810919,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","sparse","mean",145916936.957345,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","sparse","high",157567581.629734,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","dense","low",117130100.144747,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","dense","mean",127303196.374935,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"bg","dense","high",137561977.209746,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","sparse","low",37023982.7954149,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","sparse","mean",43976313.4529649,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","sparse","high",50947484.3589704,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","dense","low",29929642.5720096,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
"ag","dense","mean",35542543.9604556,"cymn_mar_benhab4m_2021_gridcode.tif.vat.dbf"
